PAIS;POSTO_APLICADOR;NU_INSCRICAO;NOTA_ENTREVISTADOR;NOTA_OBSERVADOR;NOTA_FINAL;DISCREPANCIA;SITUACAO
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301004214;0;0;0;0;Ausente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301000582;5;5;5;0;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301000463;3;2,41;2,705;0,59;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301003614;1;2,67;1,835;1,67;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301002327;3;2,58;2,79;0,42;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301002694;5;5;5;0;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301001738;3;3,29;3,145;0,29;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301004139;5;5;5;0;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301000829;1;1,38;1,19;0,38;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301002940;0;0;0;0;Ausente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301000586;5;5;5;0;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301002315;3;2,17;2,585;0,83;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301003382;2;2,58;2,29;0,58;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301003833;0;0;0;0;Ausente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301002712;3;3,25;3,125;0,25;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301001900;4;4,33;4,165;0,33;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301004390;3;3;3;0;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301002633;4;4,71;4,355;0,71;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301002519;3;3,5;3,25;0,5;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301000602;4;3,88;3,94;0,12;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301001425;4;4,37;4,185;0,37;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301002219;1;1,91;1,455;0,91;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301004339;0;0;0;0;Ausente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301002185;0;0;0;0;Ausente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301003809;0;0;0;0;Ausente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301001879;4;4,71;4,355;0,71;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301003244;2;2;2;0;Presente
República Dominicana;Centro Cultural Brasil-Santo Domingo;201301000658;3;3,25;3,125;0,25;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002579;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002601;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002614;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002947;4;4,33;4,165;0,33;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001642;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001099;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003364;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004397;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002319;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002411;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003399;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002464;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003395;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004021;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001371;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001691;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002573;0;0,25;0,125;0,25;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002419;3;3,75;3,375;0,75;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002415;3;3,5;3,25;0,5;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001707;3;3,96;3,48;0,96;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002176;4;4,71;4,355;0,71;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002928;5;5;5;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004113;1;1,33;1,165;0,33;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002071;2;2,08;2,04;0,08;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001701;1;0,5;0,75;0,5;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004036;1;1,25;1,125;0,25;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003080;2;3,25;2,625;1,25;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004111;3;2,62;2,81;0,38;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002360;3;3,17;3,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002754;3;3,41;3,205;0,41;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004080;3;3,17;3,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002506;3;3,17;3,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002332;4;4,58;4,29;0,58;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002187;1;1;1;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003492;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004167;4;3,58;3,79;0,42;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003324;3;2,87;2,935;0,13;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003116;2;2,96;2,48;0,96;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002351;2;2,75;2,375;0,75;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002340;2;2,62;2,31;0,62;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002518;3;3,25;3,125;0,25;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003499;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004057;2;2,79;2,395;0,79;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002547;5;3,46;4,23;1,54;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002586;1;0,58;0,79;0,42;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002355;0;0,46;0,23;0,46;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003449;3;2,75;2,875;0,25;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001111;0;0,17;0,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002820;3;3,2;3,1;0,2;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004299;3;3,75;3,375;0,75;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002830;4;4,17;4,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003325;3;3,25;3,125;0,25;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001723;2;2,33;2,165;0,33;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002346;3;2,58;2,79;0,42;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004054;3;2,2;2,6;0,8;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002002;3;3,17;3,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003252;2;2,58;2,29;0,58;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002970;3;3,33;3,165;0,33;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002991;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004459;2;2,41;2,205;0,41;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003373;0;0,75;0,375;0,75;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301000517;5;4,67;4,835;0,33;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004475;3;2,75;2,875;0,25;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003470;3;3,33;3,165;0,33;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003245;4;4,17;4,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003354;2;1,58;1,79;0,42;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002298;3;4;3,5;1;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002273;3;3,38;3,19;0,38;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002576;3;3;3;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002323;3;3,33;3,165;0,33;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301000564;2;2,33;2,165;0,33;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002578;2;2,25;2,125;0,25;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002637;2;1,79;1,895;0,21;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002670;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301000327;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002896;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003125;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003487;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002597;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002952;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002603;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004431;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002446;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002564;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002589;0;0;0;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002202;1;0,58;0,79;0,42;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002838;0;1;0,5;1;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002593;2;1,71;1,855;0,29;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004430;4;3,41;3,705;0,59;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004097;3;3,79;3,395;0,79;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002358;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003494;2;2,71;2,355;0,71;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001645;4;4,5;4,25;0,5;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004373;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001546;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002747;3;2,58;2,79;0,42;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002284;4;4,79;4,395;0,79;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003296;3;2,83;2,915;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002638;3;2,96;2,98;0,04;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002375;2;2,83;2,415;0,83;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301000575;3;3,08;3,04;0,08;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002274;3;3,33;3,165;0,33;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002544;4;4,17;4,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003377;3;3,38;3,19;0,38;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002743;3;3,38;3,19;0,38;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001049;3;3,67;3,335;0,67;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002546;3;3,42;3,21;0,42;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001770;2;2,59;2,295;0,59;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004219;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002435;4;4,12;4,06;0,12;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002325;2;3,12;2,56;1,12;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301000817;2;2,7;2,35;0,7;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002352;1;1,25;1,125;0,25;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002338;2;1,96;1,98;0,04;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002230;3;2,25;2,625;0,75;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003133;2;1,41;1,705;0,59;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301000503;3;2,91;2,955;0,09;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002833;3;2,79;2,895;0,21;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001548;2;1,91;1,955;0,09;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003393;3;2,71;2,855;0,29;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301000530;3;3;3;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003408;2;2,79;2,395;0,79;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004211;2;2,17;2,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004453;4;3,71;3,855;0,29;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002320;2;2,17;2,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001858;3;3;3;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002636;5;4,38;4,69;0,62;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004068;1;1,33;1,165;0,33;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002287;1;0,5;0,75;0,5;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001853;2;1,91;1,955;0,09;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301000286;3;3,08;3,04;0,08;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002508;5;4,54;4,77;0,46;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003992;3;3,21;3,105;0,21;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004119;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002418;1;1,67;1,335;0,67;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002348;2;2,04;2,02;0,04;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301000783;3;2,58;2,79;0,42;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003485;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003435;3;2,62;2,81;0,38;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003423;1;1,38;1,19;0,38;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004426;2;2,38;2,19;0,38;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004268;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002344;3;3,5;3,25;0,5;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003231;0;0;0;0;Ausente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003496;2;2,54;2,27;0,54;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002775;2;2,17;2,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004010;4;3;3,5;1;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002310;2;2;2;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002622;3;2,59;2,795;0,41;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002470;1;1,17;1,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002314;3;3,09;3,045;0,09;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004427;3;2,96;2,98;0,04;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001951;4;4,5;4,25;0,5;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002886;2;2,58;2,29;0,58;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002821;2;1,91;1,955;0,09;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004022;1;2;1,5;1;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002285;2;3,17;2,585;1,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003320;3;3;3;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002421;1;1,41;1,205;0,41;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002758;4;4;4;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004016;3;2,17;2,585;0,83;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003462;4;3,08;3,54;0,92;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001457;2;1,62;1,81;0,38;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002342;1;1,67;1,335;0,67;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002195;2;2,25;2,125;0,25;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002377;2;3;2,5;1;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004051;2;2,17;2,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002283;1;1,62;1,31;0,62;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301001102;3;2,54;2,77;0,46;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002029;3;3,83;3,415;0,83;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002836;4;4;4;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003261;3;2,41;2,705;0,59;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002751;2;2,17;2,085;0,17;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003348;3;3,79;3,395;0,79;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002321;3;3;3;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301004143;1;1,33;1,165;0,33;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002526;0;0;0;0;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002750;3;3,41;3,205;0,41;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301003143;4;5;4,5;1;Presente
Peru;Centro de Difusão Cultural Terra Brasil-Arequipa;201301002204;4;4,17;4,085;0,17;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301001451;4;3,84;3,92;0,16;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301003962;0;0,83;0,415;0,83;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301001982;4;4,5;4,25;0,5;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301002842;3;3,91;3,455;0,91;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301003417;4;4,5;4,25;0,5;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301003577;1;2,5;1,75;1,5;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301002490;2;1,46;1,73;0,54;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301003264;1;1,75;1,375;0,75;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301001136;4;4,12;4,06;0,12;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301003574;5;5;5;0;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301000331;2;3,08;2,54;1,08;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301000510;4;3,5;3,75;0,5;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301003691;2;2,83;2,415;0,83;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301004243;2;3,75;2,875;1,75;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301003944;2;3,25;2,625;1,25;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301002550;1;1,33;1,165;0,33;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301002709;1;1,62;1,31;0,62;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301003902;3;3,59;3,295;0,59;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301003259;3;2,96;2,98;0,04;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301002440;0;0;0;0;Ausente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301002023;1;0,75;0,875;0,25;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301004450;2;1,91;1,955;0,09;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301001804;1;1,41;1,205;0,41;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301002384;1;0,83;0,915;0,17;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301001064;2;1,83;1,915;0,17;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301001429;3;3,67;3,335;0,67;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301001757;4;3,88;3,94;0,12;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301000956;5;4,58;4,79;0,42;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301000157;0;1,17;0,585;1,17;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301000717;1;1,25;1,125;0,25;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301000489;1;1,33;1,165;0,33;Presente
Espanha;Centro de Estudos Brasileiros-Salamanca;201301003111;1;2;1,5;1;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301004234;3;4,33;3,665;1,33;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301004263;5;4,75;4,875;0,25;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301004458;3;4,79;3,895;1,79;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301000345;4;5;4,5;1;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301000723;0;0;0;0;Ausente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301000728;0;0;0;0;Ausente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301000730;3;4,26;3,63;1,26;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301001089;5;5;5;0;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301001106;4;4,79;4,395;0,79;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301001138;0;0;0;0;Ausente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301001157;5;5;5;0;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301001550;2;3,83;2,915;1,83;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301001557;4;5;4,5;1;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301001599;5;5;5;0;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301001880;4;4,5;4,25;0,5;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301002111;5;4,79;4,895;0,21;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301000923;0;0;0;0;Ausente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301002255;5;4,79;4,895;0,21;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301002387;2;4,71;3,355;2,71;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301002397;1;1,96;1,48;0,96;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301002408;5;5;5;0;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301003091;0;0;0;0;Ausente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301003101;4;4,79;4,395;0,79;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301003145;3;4,29;3,645;1,29;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301000066;4;5;4,5;1;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301003196;0;0;0;0;Ausente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301000084;4;4,58;4,29;0,58;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301003238;3;4,79;3,895;1,79;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301000096;4;4,08;4,04;0,08;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301003341;3;4,29;3,645;1,29;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301002182;4;4,58;4,29;0,58;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301000598;4;3,67;3,835;0,33;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301003863;4;4,5;4,25;0,5;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301000628;3;4,63;3,815;1,63;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301003870;3;3,41;3,205;0,41;Presente
Espanha;Colegio Mayor - Casa do Brasil-Madri;201301000632;2;4,37;3,185;2,37;Presente
